# エモーション配置調整定義
# 個別の stand 定義側での指定が無い場合に参照されます
#立ち絵名,ポーズ差分,エモーション名,emoX,emoY,emoRev
#アンナ,,♪,70,550,0
カトレーヌ,,？,160,246,0
カトレーヌ,,♪,190,226,0
カトレーヌ,,・・・,190,246,0
カトレーヌ,,／／／,190,246,0
カトレーヌ,,電球,190,246,0
カトレーヌ,,失敗,190,246,0
カトレーヌ,,ハート,190,246,0
カトレーヌ,,汗,136,246,0
カトレーヌ,,落ち込み,136,246,0
カトレーヌ,,にぎやか,26,296,0
カトレーヌ,,どきどき,26,218,0
カトレーヌ,,きらきら,26,218,0
カトレーヌ,,気づき左,-121,246,0
カトレーヌ,,気づき右,134,246,0
カトレーヌ,,慌てる,26,218,0
カトレーヌ,,怒り大,160,246,0
カトレーヌ,,星,26,218,0
カトレーヌ,,え゛,264,218,0
ミャウ,,＃,136,246,0
ミャウ,,！,160,246,0
ミャウ,,？,160,246,0
ミャウ,,♪,190,226,0
ミャウ,,・・・,190,246,0
ミャウ,,／／／,190,246,0
ミャウ,,電球,190,246,0
ミャウ,,失敗,190,246,0
ミャウ,,ハート,190,246,0
ミャウ,,汗,136,246,0
ミャウ,,落ち込み,136,246,0
ミャウ,,にぎやか,26,296,0
ミャウ,,どきどき,26,218,0
ミャウ,,きらきら,26,218,0
ミャウ,,気づき左,-121,246,0
ミャウ,,気づき右,134,246,0
ミャウ,,慌てる,26,218,0
ミャウ,,怒り大,160,246,0
ミャウ,,星,26,218,0
ミャウ,,え゛,264,218,0
かぐや,,＃,136,246,0
かぐや,,！,160,246,0
かぐや,,？,160,246,0
かぐや,,♪,190,226,0
かぐや,,・・・,190,246,0
かぐや,,／／／,190,246,0
かぐや,,電球,190,246,0
かぐや,,失敗,190,246,0
かぐや,,ハート,190,246,0
かぐや,,汗,136,246,0
かぐや,,落ち込み,136,246,0
かぐや,,にぎやか,26,296,0
かぐや,,どきどき,26,218,0
かぐや,,きらきら,26,218,0
かぐや,,気づき左,-121,246,0
かぐや,,気づき右,134,246,0
かぐや,,慌てる,26,218,0
かぐや,,怒り大,160,246,0
かぐや,,星,26,218,0
かぐや,,え゛,264,218,0
みぞれ,,＃,120,117,0
みぞれ,,！,144,117,0
みぞれ,,？,144,117,0
みぞれ,,♪,174,117,0
みぞれ,,・・・,174,117,0
みぞれ,,／／／,174,117,0
みぞれ,,電球,174,117,0
みぞれ,,失敗,174,117,0
みぞれ,,ハート,174,117,0
みぞれ,,汗,120,117,0
みぞれ,,落ち込み,120,117,0
みぞれ,,にぎやか,10,167,0
みぞれ,,どきどき,10,89,0
みぞれ,,きらきら,10,89,0
みぞれ,,気づき左,-137,117,0
みぞれ,,気づき右,118,117,0
みぞれ,,慌てる,10,89,0
みぞれ,,怒り大,144,117,0
みぞれ,,星,10,89,0
みぞれ,,え゛,248,89,0
みぞれ大人,,＃,136,246,0
みぞれ大人,,！,160,246,0
みぞれ大人,,？,160,246,0
みぞれ大人,,♪,190,226,0
みぞれ大人,,・・・,190,246,0
みぞれ大人,,／／／,190,246,0
みぞれ大人,,電球,190,246,0
みぞれ大人,,失敗,190,246,0
みぞれ大人,,ハート,190,246,0
みぞれ大人,,汗,136,246,0
みぞれ大人,,落ち込み,136,246,0
みぞれ大人,,にぎやか,26,296,0
みぞれ大人,,どきどき,26,218,0
みぞれ大人,,きらきら,26,218,0
みぞれ大人,,気づき左,-121,246,0
みぞれ大人,,気づき右,134,246,0
みぞれ大人,,慌てる,26,218,0
みぞれ大人,,怒り大,160,246,0
みぞれ大人,,星,26,218,0
みぞれ大人,,え゛,264,218,0
エレン,,＃,108,246,0
エレン,,！,132,246,0
エレン,,？,132,246,0
エレン,,♪,162,226,0
エレン,,・・・,162,246,0
エレン,,／／／,162,246,0
エレン,,電球,162,246,0
エレン,,失敗,162,246,0
エレン,,ハート,162,246,0
エレン,,汗,108,246,0
エレン,,落ち込み,108,246,0
エレン,,にぎやか,-2,296,0
エレン,,どきどき,-2,218,0
エレン,,きらきら,-2,218,0
エレン,,気づき左,-149,246,0
エレン,,気づき右,106,246,0
エレン,,慌てる,-2,218,0
エレン,,怒り大,132,246,0
エレン,,星,-2,218,0
エレン,,え゛,236,218,0
サラ,,＃,108,246,0
サラ,,！,132,246,0
サラ,,？,132,246,0
サラ,,♪,162,226,0
サラ,,・・・,162,246,0
サラ,,／／／,162,246,0
サラ,,電球,162,246,0
サラ,,失敗,162,246,0
サラ,,ハート,162,246,0
サラ,,汗,108,246,0
サラ,,落ち込み,108,246,0
サラ,,にぎやか,-2,296,0
サラ,,どきどき,-2,218,0
サラ,,きらきら,-2,218,0
サラ,,気づき左,-149,246,0
サラ,,気づき右,106,246,0
サラ,,慌てる,-2,218,0
サラ,,怒り大,132,246,0
サラ,,星,-2,218,0
サラ,,え゛,236,218,0
ルミア,,＃,136,246,0
ルミア,,！,160,246,0
ルミア,,？,160,246,0
ルミア,,♪,190,226,0
ルミア,,・・・,190,246,0
ルミア,,／／／,190,246,0
ルミア,,電球,190,246,0
ルミア,,失敗,190,246,0
ルミア,,ハート,190,246,0
ルミア,,汗,136,246,0
ルミア,,落ち込み,136,246,0
ルミア,,にぎやか,26,296,0
ルミア,,どきどき,26,218,0
ルミア,,きらきら,26,218,0
ルミア,,気づき左,-121,246,0
ルミア,,気づき右,134,246,0
ルミア,,慌てる,26,218,0
ルミア,,怒り大,160,246,0
ルミア,,星,26,218,0
ルミア,,え゛,264,218,0
ジルダ,,＃,136,246,0
ジルダ,,！,160,246,0
ジルダ,,？,160,246,0
ジルダ,,♪,190,226,0
ジルダ,,・・・,190,246,0
ジルダ,,／／／,190,246,0
ジルダ,,電球,190,246,0
ジルダ,,失敗,190,246,0
ジルダ,,ハート,190,246,0
ジルダ,,汗,136,246,0
ジルダ,,落ち込み,136,246,0
ジルダ,,にぎやか,26,296,0
ジルダ,,どきどき,26,218,0
ジルダ,,きらきら,26,218,0
ジルダ,,気づき左,-121,246,0
ジルダ,,気づき右,134,246,0
ジルダ,,慌てる,26,218,0
ジルダ,,怒り大,160,246,0
ジルダ,,星,26,218,0
ジルダ,,え゛,264,218,0
マリィ,,＃,136,246,0
マリィ,,！,160,246,0
マリィ,,？,160,246,0
マリィ,,♪,190,226,0
マリィ,,・・・,190,246,0
マリィ,,／／／,190,246,0
マリィ,,電球,190,246,0
マリィ,,失敗,190,246,0
マリィ,,ハート,190,246,0
マリィ,,汗,136,246,0
マリィ,,落ち込み,136,246,0
マリィ,,にぎやか,26,296,0
マリィ,,どきどき,26,218,0
マリィ,,きらきら,26,218,0
マリィ,,気づき左,-121,246,0
マリィ,,気づき右,134,246,0
マリィ,,慌てる,26,218,0
マリィ,,怒り大,160,246,0
マリィ,,星,26,218,0
マリィ,,え゛,264,218,0
セリカ,,＃,136,246,0
セリカ,,！,160,246,0
セリカ,,？,160,246,0
セリカ,,♪,190,226,0
セリカ,,・・・,190,246,0
セリカ,,／／／,190,246,0
セリカ,,電球,190,246,0
セリカ,,失敗,190,246,0
セリカ,,ハート,190,246,0
セリカ,,汗,136,246,0
セリカ,,落ち込み,136,246,0
セリカ,,にぎやか,26,296,0
セリカ,,どきどき,26,218,0
セリカ,,きらきら,26,218,0
セリカ,,気づき左,-121,246,0
セリカ,,気づき右,134,246,0
セリカ,,慌てる,26,218,0
セリカ,,怒り大,160,246,0
セリカ,,星,26,218,0
セリカ,,え゛,264,218,0
ミルファ,,＃,136,246,0
ミルファ,,！,160,246,0
ミルファ,,？,160,246,0
ミルファ,,♪,190,226,0
ミルファ,,・・・,190,246,0
ミルファ,,／／／,190,246,0
ミルファ,,電球,190,246,0
ミルファ,,失敗,190,246,0
ミルファ,,ハート,190,246,0
ミルファ,,汗,136,246,0
ミルファ,,落ち込み,136,246,0
ミルファ,,にぎやか,26,296,0
ミルファ,,どきどき,26,218,0
ミルファ,,きらきら,26,218,0
ミルファ,,気づき左,-121,246,0
ミルファ,,気づき右,134,246,0
ミルファ,,慌てる,26,218,0
ミルファ,,怒り大,160,246,0
ミルファ,,星,26,218,0
ミルファ,,え゛,264,218,0
システィーネ,,＃,136,246,0
システィーネ,,！,160,246,0
システィーネ,,？,160,246,0
システィーネ,,♪,190,226,0
システィーネ,,・・・,190,246,0
システィーネ,,／／／,190,246,0
システィーネ,,電球,190,246,0
システィーネ,,失敗,190,246,0
システィーネ,,ハート,190,246,0
システィーネ,,汗,136,246,0
システィーネ,,落ち込み,136,246,0
システィーネ,,にぎやか,26,296,0
システィーネ,,どきどき,26,218,0
システィーネ,,きらきら,26,218,0
システィーネ,,気づき左,-121,246,0
システィーネ,,気づき右,134,246,0
システィーネ,,慌てる,26,218,0
システィーネ,,怒り大,160,246,0
システィーネ,,星,26,218,0
システィーネ,,え゛,264,218,0
アサミ,,＃,136,246,0
アサミ,,！,160,246,0
アサミ,,？,160,246,0
アサミ,,♪,190,226,0
アサミ,,・・・,190,246,0
アサミ,,／／／,190,246,0
アサミ,,電球,190,246,0
アサミ,,失敗,190,246,0
アサミ,,ハート,190,246,0
アサミ,,汗,136,246,0
アサミ,,落ち込み,136,246,0
アサミ,,にぎやか,26,296,0
アサミ,,どきどき,26,218,0
アサミ,,きらきら,26,218,0
アサミ,,気づき左,-121,246,0
アサミ,,気づき右,134,246,0
アサミ,,慌てる,26,218,0
アサミ,,怒り大,160,246,0
アサミ,,星,26,218,0
アサミ,,え゛,264,218,0
ティアナ,,＃,136,246,0
ティアナ,,！,160,246,0
ティアナ,,？,160,246,0
ティアナ,,♪,190,226,0
ティアナ,,・・・,190,246,0
ティアナ,,／／／,190,246,0
ティアナ,,電球,190,246,0
ティアナ,,失敗,190,246,0
ティアナ,,ハート,190,246,0
ティアナ,,汗,136,246,0
ティアナ,,落ち込み,136,246,0
ティアナ,,にぎやか,26,296,0
ティアナ,,どきどき,26,218,0
ティアナ,,きらきら,26,218,0
ティアナ,,気づき左,-121,246,0
ティアナ,,気づき右,134,246,0
ティアナ,,慌てる,26,218,0
ティアナ,,怒り大,160,246,0
ティアナ,,星,26,218,0
ティアナ,,え゛,264,218,0
